12:49:03.207 [main] INFO  by.task.komar.reader.ConeReader - This lines [1 2 3 4 5, 1.0 1.1 1.2 1.3 1.4, -1 -1 -1 1 1] are correct
12:49:03.223 [main] ERROR by.task.komar.factory.ShapeFactory - Create cone Cone{center=Point{1.0, 2.0, 3.0}, radius=4.0, height=5.0, coneId=1}
12:52:44.754 [main] INFO  by.task.komar.repository.impl.ConeRepository - New cone in repository: Cone{center=Point{-1.0, -1.0, -1.0}, radius=1.0, height=1.0, coneId=5}
12:52:44.762 [main] INFO  by.task.komar.filler.RepositoryFiller - add cone Cone{center=Point{-1.0, -1.0, -1.0}, radius=1.0, height=1.0, coneId=5} to repository
12:52:45.212 [main] ERROR by.task.komar.factory.ShapeFactory - Create cone Cone{center=Point{-1.0, -1.0, -1.0}, radius=1.0, height=1.0, coneId=6}
12:52:45.212 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Surface area of cone Cone{center=Point{-1.0, -1.0, -1.0}, radius=1.0, height=1.0, coneId=6}: 7.584475591748159
12:52:45.212 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Volume of cone Cone{center=Point{-1.0, -1.0, -1.0}, radius=1.0, height=1.0, coneId=6}: 1.0471975511965976
12:52:45.219 [main] INFO  by.task.komar.filler.WarehouseFiller - add cone Cone{center=Point{-1.0, -1.0, -1.0}, radius=1.0, height=1.0, coneId=6} to warehouse
12:52:46.767 [main] ERROR by.task.komar.factory.ShapeFactory - Create cone Cone{center=Point{1.0, 1.0, 1.0}, radius=1.0, height=1.0, coneId=7}
12:52:46.767 [main] INFO  by.task.komar.repository.impl.ConeRepository - New cone in repository: Cone{center=Point{1.0, 1.0, 1.0}, radius=1.0, height=1.0, coneId=7}
12:52:46.775 [main] INFO  by.task.komar.filler.RepositoryFiller - add cone Cone{center=Point{1.0, 1.0, 1.0}, radius=1.0, height=1.0, coneId=7} to repository
12:52:48.551 [main] ERROR by.task.komar.factory.ShapeFactory - Create cone Cone{center=Point{1.0, 1.0, 1.0}, radius=1.0, height=1.0, coneId=8}
12:52:48.551 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Surface area of cone Cone{center=Point{1.0, 1.0, 1.0}, radius=1.0, height=1.0, coneId=8}: 7.584475591748159
12:52:48.551 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Volume of cone Cone{center=Point{1.0, 1.0, 1.0}, radius=1.0, height=1.0, coneId=8}: 1.0471975511965976
12:52:48.559 [main] INFO  by.task.komar.filler.WarehouseFiller - add cone Cone{center=Point{1.0, 1.0, 1.0}, radius=1.0, height=1.0, coneId=8} to warehouse
12:52:50.096 [main] ERROR by.task.komar.factory.ShapeFactory - Create cone Cone{center=Point{0.0, 0.0, 0.0}, radius=5.7, height=0.1, coneId=9}
12:52:50.096 [main] INFO  by.task.komar.repository.impl.ConeRepository - New cone in repository: Cone{center=Point{0.0, 0.0, 0.0}, radius=5.7, height=0.1, coneId=9}
